Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
3364,13465,"Czy po otwarciu ruchu na przejeździe wielotorowym , powinieneś przed wjazdem na torowisko upewnić się, czy po drugim torze nie zbliża się inny pociąg ?",,,,T,GN.PK.01.jpg.jpeg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"Once traffic resumes at the multi-track crossing, should you check for approaching trains on other tracks before entering the track?",,,,"Müssen Sie nach der Freigabe des Verkehrs auf einem mehrgleisigen Bahnübergang sicherstellen, dass sich auf dem anderen Gleis kein Zug nähert, bevor Sie das Gleis befahren?

",,,,"Чи після відкриття руху на багатоколійному переїзді, перед в'їздом на колії, Ви  повинні  переконатися, що по другій колії не наближається інший потяг?",,,
3365,13466,"Czy w tej sytuacji po upewnieniu się, że nie nadjeżdża pociąg , masz prawo objechać półzapory i przejechać przez przejazd kolejowy ?",,,,N,GN.PK.02.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, once you’ve confirmed that no train is approaching, are you permitted to drive around the lowered half-barrier and cross the railway tracks?",,,,"Haben Sie in dieser Situation das Recht, die Halbschranke zu umgehen und den Bahnübergang zu passieren, nachdem Sie sich vergewissert haben, dass kein Zug kommt?",,,,"Чи у цій ситуації, переконавшись, що потяг не наближається, Ви  маєте право об'їхати опущені напівшлагбауми та перетнути залізничний переїзд?",,,
3366,13467,Czy w tej sytuacji masz zawsze obowiązek zatrzymać pojazd przed widocznym znakiem zakazu ?,,,,T,GN.PK.03.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, are you obliged to bring your vehicle to a stop before the visible prohibition sign?",,,,"Sind Sie in dieser Situation immer verpflichtet, das Fahrzeug vor einem sichtbaren Verbotsschild anzuhalten?",,,,Чи у цій ситуації Ви завжди зобов'язані зупинити транспортний засіб перед видимим знаком заборони?,,,
3367,13468,"Czy w tej sytuacji, po zatrzymaniu i upewnieniu się, że nie zbliża się pociąg, masz prawo rozpocząć jazdę nie czekając na zgodę uprawnionej osoby ?",,,,N,GN.PK.03.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this situation, after halting and making sure that no train is approaching, do you have the right to proceed without waiting for permission from an authorised individual?",,,,"Haben Sie in dieser Situation das Recht, nach dem Anhalten und der Sicherstellung, dass kein Zug kommt, die Fahrt fortzusetzen, ohne auf die Zustimmung einer autorisierten Person zu warten?",,,,"Чи у цій ситуації, зупинившись і переконавшись, що потяг не наближається, Ви  маєте право подовжити рух, не чекаючи на згоду уповноваженої особи?",,,
3368,13469,"Czy w tej sytuacji masz prawo wyprzedzić poprzedzający pojazd, aby jak najszybciej przejechać przez przejazd kolejowy ?",,,,N,GN.PK.04.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this situation, do you have the right to overtake the vehicle in front of you to get across the railway crossing as swiftly as possible?",,,,"Haben Sie in dieser Situation das Recht, das vorausfahrende Fahrzeug zu überholen, um den Bahnübergang möglichst schnell zu überqueren?

",,,,"Чи у цій ситуації Ви  маєте право обігнати транспортний засіб, що рухається попереду, щоб якнайшвидше проїхати залізничний переїзд?",,,
3369,13470,"Czy w tej sytuacji  masz prawo ominąć poprzedzający pojazd wjeżdżając na część jezdni przeznaczoną dla przeciwnego kierunku ruchu, jeśli zdołasz zatrzymać się przed przejazdem kolejowym ?",,,,N,GN.PK.05.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this situation, do you have the right to overtake the vehicle in front of you by driving onto the part of the road designated for oncoming traffic, if you can stop before the railway crossing?",,,,"Haben Sie in dieser Situation das Recht, das vorausfahrende Fahrzeug auszuweichen, indem Sie auf den für die Gegenrichtung vorgesehenen Straßenabschnitt einfahren, wenn Sie es schaffen, vor dem Bahnübergang anzuhalten?",,,,"Чи у цій ситуації Ви маєте право об’їхати транспортний засіб, що рухається попереду, виїжджаючи на смугу зустрічного руху, якщо Ви встигнете зупинитися перед залізничним переїздом?",,,
3370,13471,"Czy zbliżając się do przejazdu kolejowego o niewielkim ruchu pociągów, masz zawsze obowiązek upewnienia się, czy nie zbliża się pojazd szynowy ?",,,,T,GN.PK.06.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When approaching a level crossing with infrequent train traffic, are you always required to check for any approaching trains?",,,,"Müssen Sie bei der Annäherung an einen Bahnübergang mit geringem Zugverkehr immer darauf achten, ob sich ein Schienenfahrzeug nähert?

",,,,"Наближаючись до залізничного переїзду з невеликим рухом потягів, чи маєте Ви завжди обов'язок переконатися, що не наближається рухомий склад?",,,
3371,13472,"Czy w tej sytuacji  masz prawo wjechać na torowisko nie mając pewności, czy po drugiej stronie przejazdu kolejowego jest miejsce do kontynuowania jazdy ?",,,,N,236_1024x576.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, do you have the right to cross the railway tracks without being sure that there’s enough space to continue driving on the other side of the level crossing?",,,,"Dürfen Sie in dieser Situation die Gleise betreten, ohne sicher zu sein, ob auf der anderen Seite des Bahnübergangs Platz zur Weiterfahrt ist?

",,,,"Чи у цій ситуації Ви маєте право в'їхати на колію, не будучи впевненим, що за залізничним переїздом є місце для продовження руху?",,,
3372,13473,"Czy zbliżając się do przejazdu kolejowego z zaporami powinieneś uwzględniać, że wskutek różnych przyczyn  urządzenia zabezpieczające mogą na czas nie zamknąć przejazdu ?",,,,T,GN.PK.07.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When approaching a level crossing with barriers, should you take into account that, for various reasons, the safety devices might not close the crossing in time?",,,,"Muss man bei der Annäherung an einen beschrankten Bahnübergang damit rechnen, dass die Sicherheitseinrichtungen den Übergang aus verschiedenen Gründen möglicherweise nicht rechtzeitig schließen?

",,,,"Чи, наближаючись до залізничного переїзду зі  шлагбаумами, Ви повинні враховувати, що через різні причини захисні пристрої можуть вчасно не закрити переїзд?",,,
3373,13478,Czy widząc ten znak drogowy jesteś zawsze obowiązany zatrzymać pojazd widząc rowerzystę zbliżającego się do przejazdu?,,,,N,D-6a.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When you see this road sign, are you required to stop your vehicle for an approaching cyclist at the crossing?",,,,"Sind Sie bei diesem Verkehrszeichen immer verpflichtet, Ihr Fahrzeug anzuhalten, wenn sich ein Radfahrer dem Übergang nähert?

",,,,"Чи зобов’язані Ви, побачивши цей дорожній знак, завжди зупинити транспортний засіб, побачивши велосипедиста, що наближається до переїзду?",,,
3374,13485,"Czy w miejscu, o którym informuje widoczny znak jesteś obowiązany ustąpić pierwszeństwa osobie poruszającej się przy użyciu urządzenia wspomagającego ruch, która znajdzie się na przejeździe dla rowerów?",,,,T,D-6b.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,PT,A1,A2,B1,C1,D1",,,,,"At the spot marked by the visible sign, are you required to yield to someone using a mobility aid who is crossing at a cycling crossing?",,,,"Sind Sie an der durch das sichtbare Schild gekennzeichneten Stelle verpflichtet, einer Person, die ein Bewegungsunterstützungsgerät benutzt und sich auf dem Fahrradüberweg befindet, Vorfahrt zu gewähren?",,,,"Чи зобов’язані Ви в місці, про яке інформує цей  знак, надати перевагу в русі особі, яка рухається за допомогою пристрою що допомагає пересуванню, яка з’явиться на велосипедному переїзді ?",,,
3375,13490,"Czy na przejściu dla pieszych, przy zachowaniu szczególnej ostrożności wolno Ci wyprzedzać rowerzystę ?",,,,N,GNW 01.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you allowed to overtake a cyclist at a pedestrian crossing if you exercise extreme caution?,,,,"Darf man einen Radfahrer an einem Fußgängerüberweg überholen, wenn man dabei besonders vorsichtig ist?

",,,,Чи дозволено Вам обганяти велосипедиста на пішохідному переході за умови дотримання особливої обережності?,,,
3376,13491,Czy w przedstawionej sytuacji jesteś obowiązany powstrzymać się od wyprzedzania rowerzysty ?,,,,T,GNW 01.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the scenario presented, are you required to refrain from overtaking the cyclist?",,,,"Sind Sie in der dargestellten Situation verpflichtet, auf das Überholen des Radfahrers zu verzichten?",,,,Чи зобов’язані Ви в представленій ситуації утриматися від обгону велосипедиста?,,,
3377,13492,"Czy w przedstawionej sytuacji, pomimo zachowania szczególnej ostrożności,  obowiązuje Cię zakaz wyprzedzania poprzedzającego pojazdu ?",,,,T,GNW 02.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the presented situation, despite exercising utmost caution, are you restricted from overtaking the vehicle in front of you?",,,,"Ist Ihnen in der dargestellten Situation trotz besonderer Vorsicht das Überholen des vorausfahrenden Fahrzeugs untersagt?

",,,,"Чи в представленій ситуації, незважаючи на дотримання особливої обережності, на Вас поширюється заборона обгону транспортного засобу, що рухається попереду ?",,,
3378,13493,"Czy w przedstawionej sytuacji, przy zachowaniu szczególnej ostrożności wolno Ci wyprzedzić poprzedzający samochód ?",,,,N,GNW 02.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the presented scenario, is it permissible to overtake the vehicle in front of you, provided that due caution is exercised?",,,,"Dürfen Sie in der dargestellten Situation das vor Ihnen fahrende Auto überholen, sofern Sie äußerste Vorsicht walten lassen?

",,,,"Чи дозволено Вам у представленій ситуації, за умови дотримання особливої обережності, обігнати автомобіль, що рухається попереду Вас?",,,
3379,13494,"Czy w przedstawionej sytuacji, przy zachowaniu zwiększonej uwagi, wolno Ci wyprzedzić poprzedzający pojazd z jego prawej strony ?",,,,N,GNW 03.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the situation presented, is it permissible to overtake the vehicle in front from the right side while exercising utmost caution?",,,,"Dürfen Sie in der dargestellten Situation unter erhöhter Vorsicht das vorausfahrende Fahrzeug rechts überholen?

",,,,"Чи у цій ситуації, за умови прояву підвищеної уваги, Вам дозволено обігнати транспортний засіб, що рухається попереду, з його правого боку?",,,
3380,13495,"Czy w przedstawionej sytuacji, pomimo zachowania szczególnej ostrożności,  obowiązuje Cię zakaz wyprzedzania ?",,,,T,GNW 03.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the situation depicted, despite exercising utmost caution, are you prohibited from overtaking?",,,,"Gilt in der dargestellten Situation trotz besonderer Vorsicht ein Überholverbot?

",,,,"Чи в представленій ситуації, навіть за умови дотримання особливої обережності, діє заборона на обгін?",,,
3381,13497,"Czy w tej sytuacji, dojeżdżając jezdnią dwukierunkową do wierzchołka wzniesienia, wolno Ci wyprzedzić ten motocykl ?",,,,N,IMG_9303Bd8org.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this scenario, as you approach the crest of the hill on a two-way road, are you permitted to overtake the motorbike?",,,,"Dürfen Sie in dieser Situation, wenn Sie sich auf einer  Zweirichtungsstraße der Hügelkuppe nähern, dieses Motorrad überholen?

",,,,"Чи дозволено Вам у цій ситуації, наближаючись дорогою з двостороннім рухом до вершини підйому, обігнати цей мотоцикл?",,,
3382,13498,"Czy przed wyprzedzaniem masz obowiązek upewnić się, czy kierujący jadący za Tobą nie rozpoczął wyprzedzania ?",,,,T,GNW 05.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"Before you attempt to overtake, are you required to ensure that the driver behind you hasn't already begun the overtaking manoeuvre?",,,,"Müssen Sie sich vor dem Überholen vergewissern, dass der hinter Ihnen fahrende Fahrer nicht bereits mit dem Überholen begonnen hat?

",,,,"Чи зобов’язані Ви перед обгоном переконатися, що водій, який рухається позаду Вас, не почав обгін?",,,
3383,13499,"Czy w tej sytuacji, poruszając się jezdnią jednokierunkową poza obszarem zabudowanym, obowiązuje Cię zakaz wyprzedzania poprzedzającego pojazdu z jego prawej strony?",,,,N,D26_122org.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this situation, are you prohibited from overtaking the vehicle in front of you on the right-hand side when driving on a one-way road outside a built-up area?",,,,"Ist es in dieser Situation beim Fahren auf einer Einbahnstraße außerhalb geschlossener Ortschaften verboten, das vorausfahrende Fahrzeug rechts zu überholen?

",,,,"Чи в цій ситуації, під час руху дорогою з одностороннім рухом за межами населеного пункту, Вам заборонено  обганяти транспортний засіб, що рухається попереду Вас, з його правого боку?",,,
3384,13500,"Czy w tej sytuacji, przy zachowaniu szczególnej ostrożności wolno Ci rozpocząć  wyprzedzanie poprzedzającego pojazdu ?",,,,N,GNW 06.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this scenario, are you allowed to begin the overtaking manoeuvre of the preceding vehicle while exercising extreme caution?",,,,"Darf man in dieser Situation das vorausfahrende Fahrzeug mit besonderer Vorsicht überholen?

",,,,"Чи у цій ситуації, за умови дотримання особливої обережності, Вам дозволяється розпочати обгін транспортного засобу, що рухається попереду?",,,
3385,13501,"Czy w tej sytuacji, poza obszarem zabudowanym, obowiązuje Cię zakaz wyprzedzania z prawej strony jadącego przed Tobą pojazdu?",,,,N,D26_144org.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this situation, outside a built-up area, are you prohibited from overtaking the vehicle in front of you on the right?",,,,"Ist es Ihnen in dieser Situation außerhalb geschlossener Ortschaften verboten, das vor Ihnen fahrende Fahrzeug rechts zu überholen?

",,,,"Чи в цій ситуації, за межами населеного пункту, Вам забороняється обганяти з правого боку транспортний засіб, що рухається попереду?",,,
3386,13502,Kierujesz pojazdem wyprzedzanym. Czy w czasie wyprzedzania lub bezpośrednio po nim wolno Ci nieznacznie zwiększyć prędkość ?,,,,N,GNW 11.jpg.jpeg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When driving a vehicle that's being overtaken, are you permitted to slightly increase your speed during or right after the overtaking manoeuvre?",,,,"Sie fahren ein Fahrzeug, das überholt wird. Dürfen Sie während oder unmittelbar nach dem Überholen die Geschwindigkeit leicht erhöhen?

",,,,"Ви керуєте транспортним засобом, який обганяють. Чи дозволено Вам під час обгону або безпосередньо після нього незначно збільшити швидкість?",,,
3387,13503,"Czy w tej sytuacji, mimo że zakaz wyprzedzania rowerzysty nie obowiązuje na skrzyżowaniu, powinieneś powstrzymać się od wyprzedzania rowerzysty, gdyż ze względu na ograniczoną widoczność mogłoby ono doprowadzić do stworzenia zagrożenia bezpieczeństwa ?",,,,T,GNW 07.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, while it's not against the rules to overtake cyclists at intersections, should you avoid doing so, as it might create a safety hazard due to limited visibility?",,,,"Sollten Sie in dieser Situation, obwohl an der Kreuzung kein Überholverbot für Radfahrer gilt, auf das Überholen des Radfahrers verzichten, weil dies aufgrund der eingeschränkten Sicht eine Sicherheitsgefahr darstellen könnte?

",,,,"Чи в цій ситуації, незважаючи на те, що заборона обгону велосипедиста на перехресті не діє, Ви повинні утриматися від обгону велосипедиста, оскільки через обмежену видимість це може створити небезпеку для руху?",,,
3388,13504,"Czy pomimo zachowania szczególnej ostrożności, jesteś obowiązany powstrzymać się od  wyprzedzania  pojazdu silnikowego na najbliższym skrzyżowaniu ?",,,,T,GNW 08.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,AM,A1,A2,B1,C1,D1",,,,,"Despite exercising extreme caution, are you obliged to refrain from overtaking the motor vehicle at the nearest junction?",,,,"Müssen Sie trotz äußerster Vorsicht an der nächsten Kreuzung auf das Überholen eines Kraftfahrzeugs verzichten?

",,,,"Чи, попри дотримання особливої обережності, Ви зобов’язані утриматися від обгону моторного транспортного засобу на найближчому перехресті?",,,
3389,13505,Czy zachowując szczególną ostrożność wolno Ci wyprzedzić poprzedzający pojazd na najbliższym skrzyżowaniu ?,,,,N,GNW 08.jpg.jpg,PODSTAWOWY,3,"A,B,AM,A1,A2,B1,C1,D1",,,,,"Are you allowed to overtake the vehicle in front of you at the nearest intersection, while exercising utmost caution?",,,,Darf man mit äußerster Vorsicht an der nächsten Kreuzung das vorausfahrende Fahrzeug überholen?,,,,"Чи, дотримуючись особливої обережності, Вам дозволено на найближчому перехресті обігнати транспортний засіб, що рухається попереду?",,,
3390,13506,"Czy wolno Ci rozpocząć manewr wyprzedzania bez uprzedniego upewnienia się, czy kierujący jadący za Tobą nie rozpoczął wyprzedzania ?",,,,N,GNW 05.jpg.jpg,PODSTAWOWY,3,"B,B1",,,,,Is it permissible to start overtaking without first ensuring that the driver behind you has not already begun their overtaking manoeuvre?,,,,"Darf man ein Überholmanöver einleiten, ohne sich vorher zu vergewissern, dass der hinter einem fahrende Fahrer nicht bereits zum Überholen angesetzt hat?",,,,"Чи дозволено Вам розпочинати маневр обгону без попередньої перевірки, чи водій, що рухається за Вами, не розпочав обгін?",,,
3391,13507,Czy obowiązuje Cię zakaz wyprzedzania pojazdu silnikowego jadącego jezdnią na skrzyżowaniu ?,,,,T,GNW 09.jpg.jpg,PODSTAWOWY,3,"A,B,A1,A2,B1",,,,,Are you prohibited from overtaking a motor vehicle travelling on the carriageway at an intersection?,,,,"Ist es Ihnen verboten, ein auf der Straße fahrendes Kraftfahrzeug an einer Kreuzung zu überholen?",,,,"Чи поширюється на Вас заборона обгону моторного транспортного засобу, який рухається проїзною частиною на перехресті?",,,
3392,13508,Czy w tej sytuacji obowiązuje zakaz wyprzedzania pojazdu członowego ?,,,,N,048D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, is it prohibited to overtake an articulated vehicle?",,,,Besteht in dieser Situation ein Überholverbot für Sattelzüge?,,,,Чи діє в цій ситуації заборона обгону зчленованого транспортного засобу (автопоїзда)?,,,
3393,13509,"Czy w tej sytuacji, przy zachowaniu szczególnej ostrożności, wolno Ci wyprzedzić poprzedzający pojazd na najbliższym skrzyżowaniu ?",,,,T,GNW 10.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this scenario, while exercising extreme precaution, are you allowed to overtake the preceding vehicle at the upcoming intersection?",,,,"Dürfen Sie in dieser Situation bei äußerster Vorsicht das vorausfahrende Fahrzeug an der nächsten Kreuzung überholen?

",,,,"Чи дозволено Вам у цій ситуації, за умови дотримання особливої обережності, обігнати транспортний засіб, що рухається попереду, на найближчому перехресті?",,,
3394,13510,Czy w tej sytuacji masz obowiązek powstrzymać się od wyprzedzania poprzedzającego pojazdu na najbliższym skrzyżowaniu ?,,,,N,GNW 10.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In this scenario, are you required to refrain from overtaking the preceding vehicle at the nearest intersection?",,,,"Sind Sie in dieser Situation verpflichtet, an der nächsten Kreuzung auf das Überholen des vorausfahrenden Fahrzeugs zu verzichten?

",,,,"Чи маєте Ви в цій ситуації обов’язок утриматися від обгону транспортного засобу, що рухається попереду на найближчому перехресті?",,,
3395,13511,Czy w tej sytuacji obowiązuje Cię zakaz wyprzedzania poprzedzającego pojazdu z jego lewej strony ?,,,,N,1A5306.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this situation, are you prohibited from overtaking the preceding vehicle on its left?",,,,"Ist es in dieser Situation verboten, das vorausfahrende Fahrzeug links zu überholen?

",,,,"Чи в цій ситуації поширюється на Вас заборона обгону транспортного засобу, що рухається попереду, з його лівого боку?",,,
3396,13512,"Czy w tej sytuacji na obszarze zabudowanym, jesteś obowiązany powstrzymać się od wyprzedzania poprzedzającego pojazdu z jego prawej strony ?",,,,N,D26_015org.jpg,PODSTAWOWY,3,"A,B,C,D,AM,A1,A2,B1,C1,D1",,,,,"In this situation, in a built-up area, are you obliged to refrain from overtaking the preceding vehicle on its right side?",,,,"Sind Sie in dieser Situation innerhalb geschlossener Ortschaft verpflichtet, das vor Ihnen fahrenden Fahrzeugs rechts Überholen zu unterlassen?


",,,,"Чи в цій ситуації, у межах населеного пункту, Ви зобов’язані утриматися від обгону транспортного засобу, що рухається попереду, з його правого боку?",,,
3397,13513,"Czy w tej sytuacji, dojeżdżając drogą dwukierunkową do wierzchołka wzniesienia, jesteś obowiązany powstrzymać się od wyprzedzania motocykla ?",,,,T,IMG_9303Bd8org.jpg,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"In this scenario, as you near the crest of a hill on a two-way road, are you required to refrain from overtaking the motorbike?",,,,"Sind Sie in dieser Situation verpflichtet, das Motorrad nicht zu überholen, wenn Sie sich auf einer zweistreifigen  Straße einer Hügelkuppe nähern?",,,,"Чи в цій ситуації, наближаючись дорогою з двостороннім рухом до вершини підйому, Ви зобов’язані утриматися від обгону мотоцикла?",,,
3398,13514,Kierujesz pojazdem wyprzedzanym. Czy w tej sytuacji obowiązuje Cię zakaz zwiększania prędkości ?,,,,T,GNW 11.jpg.jpeg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"You are driving a vehicle that is being overtaken. In this situation, are you prohibited from increasing your speed?",,,,"Sie fahren ein überholtes Fahrzeug. Ist es Ihnen in dieser Situation verboten, die Geschwindigkeit zu erhöhen?",,,,"Ви керуєте транспортним засобом, який обганяють. Чи діє в цій ситуації заборона на збільшення Вами швидкості?",,,
3399,13518,"Czy w takiej sytuacji, kierując na drodze ekspresowej samochodem ciężarowym o maksymalnej masie całkowitej przekraczającej 3,5 t., obowiązuje Cię zakaz wyprzedzania innego pojazdu samochodowego poruszającego się z prędkością 75 km/h?",,,,T,GNW 13.jpg.jpg,PODSTAWOWY,3,"C,C1",,,,,"In this situation, when driving a lorry with a maximum gross weight exceeding 3.5 tonnes on an expressway, are you prohibited from overtaking another motor vehicle travelling at a speed of 75 km/h?",,,,"Ist es Ihnen in einer solchen Situation verboten, mit einem Lkw mit einem zulässigen Gesamtgewicht von über 3,5 Tonnen auf einer Autobahn ein anderes Kraftfahrzeug zu überholen, das mit einer Geschwindigkeit von 75 km/h fährt?",,,,"Чи в такій ситуації, керуючи на швидкісній дорозі вантажним автомобілем з максимальною дозволеною масою понад 3,5 т, на Вас поширюється заборона обгону іншого автомобіля, що рухається зі швидкістю 75 км/год?",,,
3400,13519,"Czy w takiej sytuacji, kierując na drodze ekspresowej samochodem ciężarowym o maksymalnej masie całkowitej przekraczającej 3,5 t., wolno Ci wyprzedzić inny pojazd samochodowy poruszający się z prędkością 75 km/h?",,,,N,GNW 13.jpg.jpg,PODSTAWOWY,3,"C,C1",,,,,"In this situation, when driving a lorry with a maximum gross weight exceeding 3.5 tonnes on an expressway, are you allowed to overtake another motor vehicle travelling at 75 km/h?",,,,"Dürfen Sie in einer solchen Situation mit einem Lkw mit einem zulässigen Gesamtgewicht von über 3,5 Tonnen auf einer Autobahn ein anderes Kraftfahrzeug mit einer Geschwindigkeit von 75 km/h überholen?",,,,"Чи в такій ситуації, керуючи на швидкісній дорозі  вантажним автомобілем з максимальною дозволеною масою понад 3,5 т, Вам дозволено обігнати інший автомобіль, що рухається зі швидкістю 75 км/год?",,,
3401,13522,"Czy podczas przechodzenia przez jezdnię, poza przejściem dla pieszych, przez osobę  o widocznej ograniczonej sprawności ruchowej, jesteś obowiązany zatrzymać się, aby umożliwić jej przejście ?",,,,T,,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When a person with visible, limited mobility is crossing the road outside a pedestrian crossing, are you obliged to stop to allow them to cross?",,,,"Wenn eine Person mit sichtbar eingeschränkter Mobilität die Straße außerhalb eines Fußgängerüberwegs überquert, sind Sie dann verpflichtet, anzuhalten, um ihr das Überqueren zu ermöglichen?

",,,,"Чи зобов’язані Ви зупинитися, щоб надати можливість перейти дорогу особі з помітними обмеженнями рухливості, яка переходить проїзну частину поза пішохідним переходом?",,,
3402,13523,"Czy podczas przechodzenia przez jezdnię, poza przejściem dla pieszych, przez  osobę niepełnosprawną używającą specjalnego znaku w postaci  białej laski,  jesteś obowiązany zatrzymać się, aby umożliwić jej przejście ?",,,,T,GNI03.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,PT,A1,A2,B1,C1,D1",,,,,"When a disabled person using a special white cane is crossing the road outside a pedestrian crossing, are you obliged to stop to allow them to cross?",,,,"Wenn eine behinderte Person mit einem speziellen weißen Stock die Straße außerhalb eines Fußgängerüberwegs überquert, sind Sie dann verpflichtet, anzuhalten, um ihr das Überqueren zu ermöglichen?

",,,,"Чи зобов’язані Ви зупинитися, щоб дати можливість перейти дорогу особі з інвалідністю, яка користується спеціальним знаком у вигляді білої палиці, при переході проїзної частини поза пішохідним переходом?",,,
3403,13528,"Czy skręcając pojazdem w drogę poprzeczną, jesteś obowiązany ustąpić pierwszeństwa osobie poruszającej się w wózku inwalidzkim przejeżdżającej na skrzyżowaniu jezdnię drogi, na którą wjeżdżasz ?",,,,T,GNI08.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When turning into a crossroad, are you obliged to give way to a person in a wheelchair crossing the road at the junction you are entering?",,,,"Sind Sie beim Abbiegen auf eine Kreuzung verpflichtet, einer Person im Rollstuhl, die die Straße überquert, in die Sie an der Kreuzung einfahren, Vorfahrt zu gewähren?

",,,,"Ви повертаєте на перехресті в поперечну дорогу. Чи зобов’язані Ви надати перевагу у русі особі, яка пересувається на інвалідному візку та перетинає на перехресті проїзну частину дороги, на яку Ви повертаєте?",,,
3404,13529,"Czy zachowując szczególną ostrożność, wolno Ci powoli przejechać przed osobą poruszającą się w wózku inwalidzkim wjeżdżającą na przejście dla pieszych ?",,,,N,GNI09.jpg.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"While exercising extreme caution, is it permissible to slowly drive past a person in a wheelchair who is entering a pedestrian crossing?",,,,"Darf man vor einer Person im Rollstuhl, die einen Fußgängerüberweg betritt, langsam und mit besonderer Vorsicht überqueren?",,,,"Чи, дотримуючись особливої обережності, Вам дозволяється повільно проїхати перед особою, яка пересувається на інвалідному візку та в’їжджає на пішохідний перехід?",,,
3405,13530,Czy wolno Ci jadąc jezdnią kierować hulajnogą elektryczną z prędkością 30 km/h ?,,,,N,GNH01.jpg.jpg,PODSTAWOWY,3,"A,B,AM,A1,A2,B1",,,,,Are you allowed to ride an electric scooter at a speed of 30 km/h on the road?,,,,Darf man mit einem E-Scooter 30 km/h auf der Straße fahren?,,,,Чи дозволено Вам рухатися проїзною частиною дороги на електросамокаті  зі швидкістю 30 км/год?,,,
